dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
fb-comments,0.01,10,extension,mixed,8,4,0.5,99
fb-comments,0.005,1,primary,numeric,8,6,0.75,120
fb-comments,0.005,1,primary,categorical,8,3,0.375,16700
fb-comments,0.005,1,primary,mixed,8,5,0.625,144
fb-comments,0.005,2,primary,numeric,8,7,0.875,93
fb-comments,0.005,2,primary,categorical,8,5,0.625,352
fb-comments,0.005,2,primary,mixed,8,7,0.875,100
fb-comments,0.005,3,primary,numeric,8,6,0.75,86
fb-comments,0.005,3,primary,categorical,8,4,0.5,50
fb-comments,0.005,3,primary,mixed,8,6,0.75,100
fb-comments,0.005,4,primary,numeric,8,8,1.0,105
fb-comments,0.005,4,primary,categorical,8,1,0.125,0
fb-comments,0.005,4,primary,mixed,8,4,0.5,98
fb-comments,0.005,5,primary,numeric,8,8,1.0,98
fb-comments,0.005,5,primary,categorical,8,0,0.0,0
fb-comments,0.005,5,primary,mixed,8,4,0.5,8
fb-comments,0.005,6,primary,numeric,8,8,1.0,97
fb-comments,0.005,6,primary,categorical,8,0,0.0,0
fb-comments,0.005,6,primary,mixed,8,6,0.75,96
fb-comments,0.005,7,extension,numeric,8,8,1.0,88
fb-comments,0.005,7,extension,categorical,8,0,0.0,0
fb-comments,0.005,7,extension,mixed,8,2,0.25,0
fb-comments,0.005,8,extension,numeric,8,8,1.0,106
fb-comments,0.005,8,extension,categorical,8,0,0.0,0
fb-comments,0.005,8,extension,mixed,8,3,0.375,0
fb-comments,0.005,9,extension,numeric,8,8,1.0,98
fb-comments,0.005,9,extension,categorical,8,0,0.0,0
fb-comments,0.005,9,extension,mixed,8,0,0.0,0
fb-comments,0.005,10,extension,numeric,8,8,1.0,97
fb-comments,0.005,10,extension,categorical,8,0,0.0,0
fb-comments,0.005,10,extension,mixed,8,4,0.5,46
